teacher_id,school_id,teacher_name,persona,teacher_availability_mask,preferred_time_window,consecutive_period_preference,subjects_taught,class_arm_eligibility,room_strictness,years_of_experience,employment_type,cds_blocked_day,min_rest_periods_required
TCH-00019,SCH-002,Musa Eze,overworked_generalist,11111,scattered,4,Basic Technology|CRS,any,very_low,5,full_time_underpaid,,
TCH-00020,SCH-002,Obinna Garba,hustling_subject_specialist,11010,08:00-11:00,2,Further Mathematics,senior_only,high,8,part_time_multi_school,,
TCH-00021,SCH-002,Hauwa Adebayo,veteran_staff_room_boss,11111,08:30-10:30,1,Biology,senior_only,absolute_priority,21,full_time_senior_staff,,2
TCH-00022,SCH-002,Adaeze Okafor,nysc_corper,11011,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00023,SCH-002,Obinna Adebayo,overworked_generalist,11111,scattered,4,Basic Technology|PHE,any,very_low,1,full_time_underpaid,,
TCH-00024,SCH-002,Aisha Garba,hustling_subject_specialist,01110,08:00-11:00,3,Economics,senior_only,high,6,part_time_multi_school,,
TCH-00025,SCH-002,Obinna Garba,hustling_subject_specialist,01100,08:00-11:00,3,Physics,senior_only,high,11,part_time_multi_school,,
TCH-00026,SCH-003,Yusuf Okoro,overworked_generalist,11111,scattered,3,Basic Technology|PHE,any,very_low,5,full_time_underpaid,,
TCH-00027,SCH-003,Yusuf Mohammed,overworked_generalist,11111,scattered,4,Basic Technology|PHE,any,very_low,2,full_time_underpaid,,
TCH-00028,SCH-003,Amaka Eze,hustling_subject_specialist,11010,08:00-11:00,3,Physics,senior_only,high,9,part_time_multi_school,,
TCH-00029,SCH-003,Aisha Okoro,nysc_corper,11011,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00030,SCH-003,Blessing Mohammed,nysc_corper,10111,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Tuesday,
TCH-00031,SCH-003,Adaeze Chukwu,nysc_corper,11101,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Thursday,
TCH-00032,SCH-003,Emeka Adeyemi,veteran_staff_room_boss,11111,08:30-10:30,1,Chemistry,senior_only,absolute_priority,23,full_time_senior_staff,,2
TCH-00033,SCH-003,Tunde Chukwu,overworked_generalist,11111,scattered,3,CRS|Basic Technology|PHE,any,very_low,1,full_time_underpaid,,
TCH-00034,SCH-003,Blessing Eze,nysc_corper,01111,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Monday,
TCH-00035,SCH-003,Hauwa Nwosu,hustling_subject_specialist,10010,08:00-11:00,2,Economics|Further Mathematics,senior_only,high,10,part_time_multi_school,,
TCH-00036,SCH-003,Blessing Balogun,hustling_subject_specialist,11100,08:00-11:00,2,Further Mathematics|Physics,senior_only,high,11,part_time_multi_school,,
TCH-00037,SCH-003,Emeka Eze,veteran_staff_room_boss,11111,08:30-10:30,2,Physics|Chemistry,senior_only,absolute_priority,24,full_time_senior_staff,,2
TCH-00038,SCH-003,Emeka Abubakar,hustling_subject_specialist,01110,08:00-11:00,2,Economics,senior_only,high,8,part_time_multi_school,,
TCH-00039,SCH-003,Hauwa Eze,nysc_corper,11011,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00040,SCH-003,Hauwa Abubakar,nysc_corper,01111,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Monday,
TCH-00041,SCH-004,Kunle Nwosu,veteran_staff_room_boss,11111,08:30-10:30,1,Further Mathematics,senior_only,absolute_priority,20,full_time_senior_staff,,2
TCH-00042,SCH-004,Yusuf Okoro,overworked_generalist,11111,scattered,3,Basic Technology|PHE,any,very_low,8,full_time_underpaid,,
TCH-00043,SCH-004,Bashir Abubakar,veteran_staff_room_boss,11111,08:30-10:30,2,Biology|Physics,senior_only,absolute_priority,23,full_time_senior_staff,,2
TCH-00044,SCH-004,Oluwaseun Chukwu,nysc_corper,11110,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Friday,
TCH-00045,SCH-004,Hauwa Nwosu,nysc_corper,01111,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Monday,
TCH-00046,SCH-004,Musa Nwosu,overworked_generalist,11111,scattered,3,Basic Technology|PHE|CRS,any,very_low,8,full_time_underpaid,,
TCH-00047,SCH-004,Ifeoma Garba,overworked_generalist,11111,scattered,3,CRS|PHE,any,very_low,2,full_time_underpaid,,
TCH-00048,SCH-004,Adaeze Chukwu,hustling_subject_specialist,11000,08:00-11:00,2,Economics|Further Mathematics,senior_only,high,4,part_time_multi_school,,
TCH-00049,SCH-004,Bashir Adebayo,hustling_subject_specialist,10100,08:00-11:00,2,Further Mathematics|Economics,senior_only,high,7,part_time_multi_school,,
TCH-00050,SCH-004,Hauwa Garba,veteran_staff_room_boss,11111,08:30-10:30,1,Chemistry|Physics,senior_only,absolute_priority,15,full_time_senior_staff,,2
TCH-00051,SCH-004,Kunle Adeyemi,nysc_corper,01111,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Monday,
TCH-00052,SCH-004,Fatima Adeyemi,veteran_staff_room_boss,11111,08:30-10:30,1,Biology|Chemistry,senior_only,absolute_priority,21,full_time_senior_staff,,2
TCH-00053,SCH-005,Hauwa Nwosu,nysc_corper,01111,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Monday,
TCH-00054,SCH-005,Ifeoma Balogun,overworked_generalist,11111,scattered,4,CRS|Basic Technology|PHE,any,very_low,6,full_time_underpaid,,
TCH-00055,SCH-005,Obinna Abubakar,overworked_generalist,11111,scattered,5,CRS|Basic Technology|PHE,any,very_low,3,full_time_underpaid,,
TCH-00056,SCH-005,Emeka Adeyemi,nysc_corper,11110,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Friday,
TCH-00057,SCH-005,Yusuf Okoro,overworked_generalist,11111,scattered,4,Basic Technology|CRS|PHE,any,very_low,5,full_time_underpaid,,
TCH-00058,SCH-005,Oluwaseun Abubakar,nysc_corper,01111,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Monday,
TCH-00059,SCH-005,Ifeoma Suleiman,overworked_generalist,11111,scattered,4,CRS|PHE,any,very_low,8,full_time_underpaid,,
TCH-00060,SCH-005,Oluwaseun Nwosu,overworked_generalist,11111,scattered,3,Basic Technology|PHE|CRS,any,very_low,5,full_time_underpaid,,
TCH-00061,SCH-005,Emeka Okoro,veteran_staff_room_boss,11111,08:30-10:30,2,Further Mathematics,senior_only,absolute_priority,16,full_time_senior_staff,,2
TCH-00062,SCH-005,Ifeoma Adeyemi,veteran_staff_room_boss,11111,08:30-10:30,2,Chemistry,senior_only,absolute_priority,17,full_time_senior_staff,,2
TCH-00063,SCH-005,Oluwaseun Chukwu,hustling_subject_specialist,01100,08:00-11:00,2,Further Mathematics|Physics,senior_only,high,4,part_time_multi_school,,
TCH-00064,SCH-005,Musa Eze,hustling_subject_specialist,10010,08:00-11:00,3,Economics|Further Mathematics,senior_only,high,7,part_time_multi_school,,
TCH-00065,SCH-005,Yusuf Okoro,veteran_staff_room_boss,11111,08:30-10:30,1,Biology|Further Mathematics,senior_only,absolute_priority,18,full_time_senior_staff,,2
TCH-00066,SCH-005,Yusuf Chukwu,nysc_corper,01111,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Monday,
TCH-00067,SCH-005,Fatima Okoro,overworked_generalist,11111,scattered,3,CRS|PHE,any,very_low,8,full_time_underpaid,,
TCH-00068,SCH-005,Kunle Garba,veteran_staff_room_boss,11111,08:30-10:30,2,Chemistry,senior_only,absolute_priority,18,full_time_senior_staff,,2
TCH-00069,SCH-006,Aisha Eze,nysc_corper,01111,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Monday,
TCH-00070,SCH-006,Bashir Eze,overworked_generalist,11111,scattered,4,Basic Technology|CRS|PHE,any,very_low,6,full_time_underpaid,,
TCH-00071,SCH-006,Kunle Adeyemi,overworked_generalist,11111,scattered,4,CRS|PHE|Basic Technology,any,very_low,8,full_time_underpaid,,
TCH-00072,SCH-006,Musa Nwosu,overworked_generalist,11111,scattered,3,PHE|Basic Technology|CRS,any,very_low,7,full_time_underpaid,,
TCH-00073,SCH-006,Tunde Mohammed,veteran_staff_room_boss,11111,08:30-10:30,2,Chemistry|Biology,senior_only,absolute_priority,29,full_time_senior_staff,,2
TCH-00074,SCH-006,Tunde Adebayo,nysc_corper,10111,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Tuesday,
TCH-00075,SCH-006,Chiamaka Chukwu,nysc_corper,01111,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Monday,
TCH-00076,SCH-006,Aisha Chukwu,nysc_corper,11101,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Thursday,
TCH-00077,SCH-006,Aisha Eze,nysc_corper,11110,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Friday,
TCH-00078,SCH-006,Aisha Balogun,hustling_subject_specialist,01110,08:00-11:00,2,Physics,senior_only,high,8,part_time_multi_school,,
TCH-00079,SCH-006,Emeka Eze,overworked_generalist,11111,scattered,4,PHE|Basic Technology,any,very_low,6,full_time_underpaid,,
TCH-00080,SCH-006,Ifeoma Abubakar,overworked_generalist,11111,scattered,3,PHE|CRS|Basic Technology,any,very_low,4,full_time_underpaid,,
TCH-00081,SCH-006,Oluwaseun Balogun,nysc_corper,11011,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00082,SCH-006,Obinna Adebayo,hustling_subject_specialist,10100,08:00-11:00,3,Physics,senior_only,high,5,part_time_multi_school,,
TCH-00083,SCH-006,Ngozi Nwosu,nysc_corper,01111,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Monday,
TCH-00084,SCH-007,Obinna Adeyemi,overworked_generalist,11111,scattered,3,PHE|CRS,any,very_low,5,full_time_underpaid,,
TCH-00085,SCH-007,Blessing Balogun,hustling_subject_specialist,10110,08:00-11:00,3,Economics|Further Mathematics,senior_only,high,10,part_time_multi_school,,
TCH-00086,SCH-007,Aisha Mohammed,overworked_generalist,11111,scattered,5,Basic Technology|PHE|CRS,any,very_low,8,full_time_underpaid,,
TCH-00087,SCH-007,Musa Okafor,veteran_staff_room_boss,11111,08:30-10:30,2,Chemistry|Biology,senior_only,absolute_priority,26,full_time_senior_staff,,2
TCH-00088,SCH-007,Obinna Adebayo,hustling_subject_specialist,01110,08:00-11:00,2,Further Mathematics|Physics,senior_only,high,6,part_time_multi_school,,
TCH-00089,SCH-007,Bashir Adebayo,nysc_corper,11101,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Thursday,
TCH-00090,SCH-007,Chinedu Mohammed,nysc_corper,01111,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Monday,
TCH-00091,SCH-007,Chinedu Abubakar,overworked_generalist,11111,scattered,4,PHE|Basic Technology|CRS,any,very_low,3,full_time_underpaid,,
TCH-00092,SCH-007,Chiamaka Abubakar,nysc_corper,01111,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Monday,
TCH-00093,SCH-007,Oluwaseun Chukwu,veteran_staff_room_boss,11111,08:30-10:30,2,Further Mathematics,senior_only,absolute_priority,29,full_time_senior_staff,,2
TCH-00094,SCH-007,Aisha Balogun,nysc_corper,11011,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00095,SCH-007,Adaeze Suleiman,veteran_staff_room_boss,11111,08:30-10:30,1,Further Mathematics,senior_only,absolute_priority,28,full_time_senior_staff,,2
TCH-00096,SCH-007,Hauwa Suleiman,nysc_corper,11110,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Friday,
TCH-00097,SCH-007,Obinna Balogun,veteran_staff_room_boss,11111,08:30-10:30,1,Further Mathematics,senior_only,absolute_priority,25,full_time_senior_staff,,2
TCH-00098,SCH-007,Fatima Nwosu,hustling_subject_specialist,11100,08:00-11:00,2,Further Mathematics,senior_only,high,10,part_time_multi_school,,
TCH-00099,SCH-007,Tunde Okoro,overworked_generalist,11111,scattered,4,CRS|PHE|Basic Technology,any,very_low,1,full_time_underpaid,,
TCH-00100,SCH-008,Hauwa Okoro,overworked_generalist,11111,scattered,5,Basic Technology|CRS,any,very_low,2,full_time_underpaid,,
TCH-00101,SCH-008,Aisha Adeyemi,overworked_generalist,11111,scattered,3,CRS|PHE,any,very_low,3,full_time_underpaid,,
TCH-00102,SCH-008,Obinna Adebayo,veteran_staff_room_boss,11111,08:30-10:30,1,Physics,senior_only,absolute_priority,18,full_time_senior_staff,,2
TCH-00103,SCH-008,Amaka Eze,veteran_staff_room_boss,11111,08:30-10:30,2,Further Mathematics|Physics,senior_only,absolute_priority,22,full_time_senior_staff,,2
TCH-00104,SCH-008,Hauwa Nwosu,veteran_staff_room_boss,11111,08:30-10:30,2,Chemistry,senior_only,absolute_priority,17,full_time_senior_staff,,2
TCH-00105,SCH-008,Chiamaka Eze,overworked_generalist,11111,scattered,4,CRS|Basic Technology|PHE,any,very_low,6,full_time_underpaid,,
TCH-00106,SCH-008,Aisha Eze,hustling_subject_specialist,11010,08:00-11:00,3,Further Mathematics,senior_only,high,11,part_time_multi_school,,
TCH-00107,SCH-008,Chiamaka Adeyemi,nysc_corper,11101,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Thursday,
TCH-00108,SCH-008,Aisha Adeyemi,overworked_generalist,11111,scattered,3,Basic Technology|PHE|CRS,any,very_low,5,full_time_underpaid,,
TCH-00109,SCH-008,Oluwaseun Adebayo,overworked_generalist,11111,scattered,5,Basic Technology|CRS,any,very_low,2,full_time_underpaid,,
TCH-00110,SCH-008,Hauwa Okoro,overworked_generalist,11111,scattered,5,CRS|PHE|Basic Technology,any,very_low,6,full_time_underpaid,,
TCH-00111,SCH-008,Oluwaseun Okafor,overworked_generalist,11111,scattered,3,Basic Technology|PHE,any,very_low,5,full_time_underpaid,,
TCH-00112,SCH-009,Chinedu Okafor,veteran_staff_room_boss,11111,08:30-10:30,1,Biology,senior_only,absolute_priority,21,full_time_senior_staff,,2
TCH-00113,SCH-009,Musa Suleiman,overworked_generalist,11111,scattered,3,CRS|PHE|Basic Technology,any,very_low,6,full_time_underpaid,,
TCH-00114,SCH-009,Kunle Garba,nysc_corper,11011,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00115,SCH-009,Ngozi Nwosu,veteran_staff_room_boss,11111,08:30-10:30,1,Physics,senior_only,absolute_priority,17,full_time_senior_staff,,2
TCH-00116,SCH-009,Yusuf Suleiman,nysc_corper,01111,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Monday,
TCH-00117,SCH-009,Blessing Chukwu,hustling_subject_specialist,10100,08:00-11:00,2,Physics,senior_only,high,11,part_time_multi_school,,
TCH-00118,SCH-009,Yusuf Chukwu,nysc_corper,11110,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Friday,
TCH-00119,SCH-009,Chinedu Mohammed,hustling_subject_specialist,01100,08:00-11:00,3,Economics,senior_only,high,9,part_time_multi_school,,
TCH-00120,SCH-009,Chiamaka Balogun,nysc_corper,01111,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Monday,
TCH-00121,SCH-009,Amaka Eze,hustling_subject_specialist,11010,08:00-11:00,2,Physics,senior_only,high,4,part_time_multi_school,,
TCH-00122,SCH-010,Musa Mohammed,veteran_staff_room_boss,11111,08:30-10:30,2,Chemistry,senior_only,absolute_priority,29,full_time_senior_staff,,2
TCH-00123,SCH-010,Amaka Adeyemi,hustling_subject_specialist,01010,08:00-11:00,3,Further Mathematics|Economics,senior_only,high,6,part_time_multi_school,,
TCH-00124,SCH-010,Obinna Balogun,veteran_staff_room_boss,11111,08:30-10:30,2,Further Mathematics,senior_only,absolute_priority,17,full_time_senior_staff,,2
TCH-00125,SCH-010,Musa Eze,nysc_corper,11101,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Thursday,
TCH-00126,SCH-010,Ngozi Chukwu,nysc_corper,11110,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Friday,
TCH-00127,SCH-010,Kunle Balogun,overworked_generalist,11111,scattered,3,PHE|CRS|Basic Technology,any,very_low,5,full_time_underpaid,,
TCH-00128,SCH-010,Ifeoma Suleiman,veteran_staff_room_boss,11111,08:30-10:30,1,Physics|Chemistry,senior_only,absolute_priority,17,full_time_senior_staff,,2
TCH-00129,SCH-010,Emeka Okoro,overworked_generalist,11111,scattered,3,Basic Technology|CRS|PHE,any,very_low,6,full_time_underpaid,,
TCH-00130,SCH-010,Kunle Suleiman,overworked_generalist,11111,scattered,4,PHE|CRS,any,very_low,4,full_time_underpaid,,
TCH-00131,SCH-010,Hauwa Okoro,hustling_subject_specialist,11000,08:00-11:00,3,Economics,senior_only,high,7,part_time_multi_school,,
TCH-00132,SCH-010,Oluwaseun Adebayo,veteran_staff_room_boss,11111,08:30-10:30,2,Biology,senior_only,absolute_priority,20,full_time_senior_staff,,2
TCH-00133,SCH-010,Fatima Chukwu,nysc_corper,10111,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Tuesday,
TCH-00134,SCH-010,Amaka Abubakar,overworked_generalist,11111,scattered,3,PHE|Basic Technology|CRS,any,very_low,7,full_time_underpaid,,
TCH-00135,SCH-010,Bashir Chukwu,nysc_corper,01111,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Monday,
TCH-00136,SCH-010,Ngozi Garba,nysc_corper,11011,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00137,SCH-011,Aisha Adebayo,overworked_generalist,11111,scattered,4,PHE|Basic Technology,any,very_low,6,full_time_underpaid,,
TCH-00138,SCH-011,Ngozi Nwosu,nysc_corper,11101,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Thursday,
TCH-00139,SCH-011,Emeka Nwosu,nysc_corper,11110,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Friday,
TCH-00140,SCH-011,Obinna Mohammed,overworked_generalist,11111,scattered,5,CRS|PHE|Basic Technology,any,very_low,2,full_time_underpaid,,
TCH-00141,SCH-011,Blessing Chukwu,overworked_generalist,11111,scattered,5,PHE|Basic Technology,any,very_low,6,full_time_underpaid,,
TCH-00142,SCH-011,Fatima Mohammed,overworked_generalist,11111,scattered,4,PHE|CRS,any,very_low,7,full_time_underpaid,,
TCH-00143,SCH-011,Kunle Mohammed,veteran_staff_room_boss,11111,08:30-10:30,1,Further Mathematics|Physics,senior_only,absolute_priority,28,full_time_senior_staff,,2
TCH-00144,SCH-011,Fatima Abubakar,overworked_generalist,11111,scattered,3,Basic Technology|PHE,any,very_low,6,full_time_underpaid,,
TCH-00145,SCH-011,Aisha Adebayo,overworked_generalist,11111,scattered,3,PHE|Basic Technology|CRS,any,very_low,4,full_time_underpaid,,
TCH-00146,SCH-011,Musa Suleiman,veteran_staff_room_boss,11111,08:30-10:30,2,Biology,senior_only,absolute_priority,17,full_time_senior_staff,,2
TCH-00147,SCH-012,Bashir Mohammed,hustling_subject_specialist,01010,08:00-11:00,3,Further Mathematics|Physics,senior_only,high,11,part_time_multi_school,,
TCH-00148,SCH-012,Adaeze Suleiman,overworked_generalist,11111,scattered,5,Basic Technology|PHE,any,very_low,5,full_time_underpaid,,
TCH-00149,SCH-012,Musa Mohammed,hustling_subject_specialist,10100,08:00-11:00,3,Physics,senior_only,high,8,part_time_multi_school,,
TCH-00150,SCH-012,Bashir Garba,overworked_generalist,11111,scattered,3,CRS|Basic Technology|PHE,any,very_low,5,full_time_underpaid,,
TCH-00151,SCH-012,Ifeoma Okoro,overworked_generalist,11111,scattered,4,CRS|Basic Technology,any,very_low,4,full_time_underpaid,,
TCH-00152,SCH-012,Chiamaka Adeyemi,overworked_generalist,11111,scattered,5,Basic Technology|PHE|CRS,any,very_low,8,full_time_underpaid,,
TCH-00153,SCH-012,Ifeoma Nwosu,overworked_generalist,11111,scattered,3,CRS|PHE,any,very_low,3,full_time_underpaid,,
TCH-00154,SCH-012,Chinedu Adebayo,veteran_staff_room_boss,11111,08:30-10:30,1,Physics,senior_only,absolute_priority,28,full_time_senior_staff,,2
TCH-00155,SCH-012,Aisha Balogun,overworked_generalist,11111,scattered,5,PHE|Basic Technology|CRS,any,very_low,3,full_time_underpaid,,
TCH-00156,SCH-012,Aisha Okafor,nysc_corper,11011,13:00-15:00,1,Civic Education,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00157,SCH-012,Chiamaka Adeyemi,veteran_staff_room_boss,11111,08:30-10:30,1,Biology|Chemistry,senior_only,absolute_priority,28,full_time_senior_staff,,2
TCH-00158,SCH-012,Oluwaseun Adeyemi,veteran_staff_room_boss,11111,08:30-10:30,1,Chemistry|Physics,senior_only,absolute_priority,16,full_time_senior_staff,,2
TCH-00159,SCH-012,Emeka Okoro,overworked_generalist,11111,scattered,3,PHE|CRS|Basic Technology,any,very_low,5,full_time_underpaid,,
TCH-00160,SCH-012,Ngozi Abubakar,nysc_corper,11011,13:00-15:00,1,Basic Science,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00161,SCH-013,Yusuf Eze,overworked_generalist,11111,scattered,3,Basic Technology|CRS,any,very_low,7,full_time_underpaid,,
TCH-00162,SCH-013,Musa Adebayo,nysc_corper,01111,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Monday,
TCH-00163,SCH-013,Kunle Nwosu,overworked_generalist,11111,scattered,4,PHE|Basic Technology|CRS,any,very_low,2,full_time_underpaid,,
TCH-00164,SCH-013,Ngozi Nwosu,overworked_generalist,11111,scattered,3,PHE|Basic Technology|CRS,any,very_low,1,full_time_underpaid,,
TCH-00165,SCH-013,Blessing Mohammed,hustling_subject_specialist,01010,08:00-11:00,3,Economics,senior_only,high,8,part_time_multi_school,,
TCH-00166,SCH-013,Musa Adeyemi,veteran_staff_room_boss,11111,08:30-10:30,2,Biology|Chemistry,senior_only,absolute_priority,26,full_time_senior_staff,,2
TCH-00167,SCH-013,Fatima Abubakar,nysc_corper,01111,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Monday,
TCH-00168,SCH-013,Fatima Eze,hustling_subject_specialist,00110,08:00-11:00,2,Economics|Physics,senior_only,high,7,part_time_multi_school,,
TCH-00169,SCH-013,Blessing Adebayo,overworked_generalist,11111,scattered,4,Basic Technology|PHE|CRS,any,very_low,6,full_time_underpaid,,
TCH-00170,SCH-013,Ifeoma Chukwu,nysc_corper,11011,13:00-15:00,1,Basic Science|Civic Education,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00171,SCH-013,Adaeze Adebayo,overworked_generalist,11111,scattered,3,PHE|CRS,any,very_low,3,full_time_underpaid,,
TCH-00172,SCH-013,Yusuf Abubakar,hustling_subject_specialist,11000,08:00-11:00,3,Physics,senior_only,high,12,part_time_multi_school,,
TCH-00173,SCH-013,Chiamaka Adebayo,hustling_subject_specialist,01100,08:00-11:00,2,Economics,senior_only,high,8,part_time_multi_school,,
TCH-00174,SCH-013,Yusuf Adeyemi,veteran_staff_room_boss,11111,08:30-10:30,1,Further Mathematics|Physics,senior_only,absolute_priority,23,full_time_senior_staff,,2
TCH-00175,SCH-014,Fatima Okoro,nysc_corper,11011,13:00-15:00,1,Civic Education|Basic Science,junior_only,low,0,nysc_temporary,Wednesday,
TCH-00176,SCH-014,Oluwaseun Okafor,overworked_generalist,11111,scattered,4,PHE|CRS|Basic Technology,any,very_low,1,full_time_underpaid,,
TCH-00177,SCH-014,Musa Adebayo,overworked_generalist,11111,scattered,3,CRS|Basic Technology|PHE,any,very_low,4,full_time_underpaid,,
TCH-00178,SCH-014,Amaka Suleiman,hustling_subject_specialist,00110,08:00-11:00,3,Further Mathematics,senior_only,high,11,part_time_multi_school,,
TCH-00179,SCH-014,Obinna Balogun,overworked_generalist,11111,scattered,4,Basic Technology|CRS,any,very_low,2,full_time_underpaid,,
TCH-00180,SCH-014,Adaeze Adebayo,overworked_generalist,11111,scattered,5,CRS|PHE|Basic Technology,any,very_low,5,full_time_underpaid,,
TCH-00181,SCH-014,Aisha Okafor,veteran_staff_room_boss,11111,08:30-10:30,2,Further Mathematics|Physics,senior_only,absolute_priority,17,full_time_senior_staff,,2
TCH-00182,SCH-014,Oluwaseun Okoro,veteran_staff_room_boss,11111,08:30-10:30,1,Further Mathematics|Chemistry,senior_only,absolute_priority,27,full_time_senior_staff,,2
